,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
836,2020-09-06,5,30,21,OH,130558.0,773,2273677.0,25552
837,2020-09-13,4,36,19,OH,137405.0,837,2456425.0,25982
838,2020-09-20,4,32,18,OH,144309.0,762,2680988.0,35840
839,2020-09-27,4,32,17,OH,150809.0,800,2920378.0,36400
840,2020-10-04,4,33,18,OH,158907.0,941,3197768.0,36959
841,2020-10-11,5,36,20,OH,168749.0,1291,3454572.0,38173
842,2020-10-18,6,36,21,OH,181787.0,1562,3718862.0,44688
843,2020-10-25,6,18,22,OH,198115.0,2309,4001342.0,47379
844,2020-11-01,4,54,18,OH,219000.0,3303,4305758.0,49775
845,2020-11-08,7,69,28,OH,250268.0,4541,4618192.0,55011
846,2020-03-08,66,56,34,KS,1.0,1,11.0,0
847,2020-03-15,100,70,100,KS,8.0,2,135.0,42
848,2020-03-22,73,53,94,KS,64.0,9,417.0,0
849,2020-03-29,57,38,85,KS,319.0,58,4194.0,523
850,2020-04-05,56,51,68,KS,747.0,49,7476.0,596
851,2020-04-12,43,24,50,KS,1337.0,69,11916.0,841
852,2020-04-19,35,25,44,KS,1849.0,59,16281.0,395
853,2020-04-26,21,38,37,KS,3174.0,118,23053.0,910
854,2020-05-03,18,0,37,KS,5030.0,284,31748.0,1552
855,2020-05-10,17,26,41,KS,6948.0,197,45557.0,2375
856,2020-05-17,13,0,31,KS,7886.0,0,53706.0,0
857,2020-05-24,10,41,27,KS,8958.0,0,67476.0,0
858,2020-05-31,8,0,21,KS,9719.0,0,85230.0,0
859,2020-06-07,8,28,27,KS,10393.0,0,103260.0,0
860,2020-06-14,8,28,33,KS,11047.0,0,118105.0,0
861,2020-06-21,11,29,38,KS,12059.0,0,135590.0,0
862,2020-06-28,12,30,42,KS,13538.0,0,154321.0,0
863,2020-07-05,11,28,35,KS,15919.0,0,175642.0,0
864,2020-07-12,11,29,37,KS,18611.0,0,199168.0,0
865,2020-07-19,9,0,36,KS,21965.0,0,227388.0,0
866,2020-07-26,7,30,29,KS,25109.0,0,252858.0,0
867,2020-08-02,7,31,78,KS,27812.0,0,264695.0,0
868,2020-08-09,5,30,27,KS,30638.0,0,285874.0,0
869,2020-08-16,5,30,25,KS,33885.0,0,309158.0,0
870,2020-08-23,5,0,22,KS,36856.0,0,329459.0,0
871,2020-08-30,4,28,20,KS,41048.0,0,362099.0,0
872,2020-09-06,4,28,18,KS,45220.0,0,381985.0,0
873,2020-09-13,4,0,16,KS,48386.0,0,400544.0,0
874,2020-09-20,3,28,15,KS,52285.0,0,422464.0,0
875,2020-09-27,4,0,17,KS,56592.0,0,446178.0,0
876,2020-10-04,3,30,16,KS,61111.0,0,470006.0,0
877,2020-10-11,3,100,19,KS,65807.0,0,494382.0,0
878,2020-10-18,3,32,15,KS,70855.0,0,518334.0,0
879,2020-10-25,3,32,17,KS,76230.0,0,540032.0,0
880,2020-11-01,3,0,13,KS,85181.0,0,557601.0,0
881,2020-11-08,4,42,21,KS,97633.0,0,578687.0,0
882,2020-03-08,61,15,32,OK,1.0,0,8.0,8
883,2020-03-15,100,32,85,OK,9.0,5,118.0,82
884,2020-03-22,84,35,100,OK,67.0,14,669.0,109
885,2020-03-29,66,15,93,OK,429.0,52,1205.0,25
886,2020-04-05,62,29,74,OK,1252.0,93,1401.0,39
887,2020-04-12,47,14,49,OK,1970.0,102,20790.0,0
888,2020-04-19,36,21,39,OK,2599.0,29,32966.0,0
889,2020-04-26,19,29,32,OK,3253.0,60,49891.0,0
890,2020-05-03,17,15,31,OK,3972.0,121,59804.0,0
891,2020-05-10,15,30,31,OK,4589.0,99,91379.0,0
892,2020-05-17,12,16,30,OK,5310.0,73,118162.0,0
893,2020-05-24,10,16,24,OK,6037.0,77,154943.0,0
894,2020-05-31,8,31,21,OK,6506.0,88,186700.0,0
895,2020-06-07,9,16,29,OK,7150.0,147,214598.0,0
896,2020-06-14,10,16,38,OK,8231.0,158,242587.0,4221
897,2020-06-21,12,16,44,OK,10515.0,478,271925.0,0
898,2020-06-28,12,16,34,OK,12944.0,302,313021.0,0
899,2020-07-05,12,17,40,OK,15928.0,283,348789.0,0
900,2020-07-12,13,100,43,OK,20235.0,456,400037.0,0
901,2020-07-19,10,28,37,OK,25265.0,209,450675.0,0
902,2020-07-26,9,17,31,OK,31285.0,1204,535628.0,0
903,2020-08-02,7,33,72,OK,38225.0,494,599461.0,0
904,2020-08-09,6,22,28,OK,43566.0,486,650485.0,0
905,2020-08-16,5,22,21,OK,48342.0,544,706619.0,0
906,2020-08-23,4,31,18,OK,53165.0,566,759335.0,0
907,2020-08-30,5,0,18,OK,58020.0,667,806545.0,0
908,2020-09-06,4,16,16,OK,63607.0,420,860086.0,0
909,2020-09-13,4,15,18,OK,69354.0,695,920176.0,0
910,2020-09-20,4,0,16,OK,76807.0,1003,995697.0,0
911,2020-09-27,4,0,18,OK,83510.0,0,1075475.0,0
912,2020-10-04,4,51,17,OK,91317.0,569,1157074.0,0
913,2020-10-11,4,25,15,OK,99387.0,766,1240518.0,0
914,2020-10-18,4,31,15,OK,107299.0,796,1327532.0,0
